,Model,dataset,Accuracy,Precision,Recall,F1 score,AUC
0,SVM,train,0.8269370021723389,0.7091172214182344,0.928030303030303,0.8039376538146021,0.9094994493587694
1,SVM,test,0.8229342327150084,0.7128378378378378,0.9134199134199135,0.8007590132827324,0.8899332711487409
2,XGBoost,train,1.0,1.0,1.0,1.0,0.9999999999999999
3,XGBoost,test,0.9038785834738617,0.8883928571428571,0.8614718614718615,0.8747252747252748,0.9673172131735668
